Area;Aust Sharpnose Shark;Australian Blacktip;Big Nose Whaler;Bigeye Thresher;Blacktip Reef Whaler;Blue Shark;Bronze Whaler;Bull Whaler;Common Blacktip Wha;Creek Whaler;Dusky Whaler;Fossil Shark;Graceful Whaler;Great Hammerhead;Grey Carpet Shark;Grey Nurse Shark;Grey Reef Whaler;Hammerhead Shark *;Hardnose Whaler;Long Nose Whaler;Mako;Milk Shark;Nervous Shark;Pigeye Whaler;Port Jackson Shark;Sandbar Whaler;Scalloped Hammerhead;School Shark;Sharptooth Shark;Silky Whaler;Silver Tip Whaler;Slit Eye Shark;Speartooth Shark;Spot-Tail Whaler;Tasselled Wobbegong;Tawny Shark;Thresher Shark;Tiger Shark;Unknown Shark;Weasel Shark;Whale Shark;Whaler;White Shark;White-Cheek Shark;Winged Hammerhead;Winghead Shark;Wobbegong *;Zebra Shark;Grand Total
Bribie Island;;;;;;;;8;1;;1;;;;;;;;;;;;;;;4;;;;;;;;;;;;11;;;;;;;;;;;25
Bundaberg;;4;2;;34;;;115;4;;12;;;;;;;3;;13;2;;;111;;103;17;;38;;;;;8;;40;;955;21;;;9;12;;;;;1;1504
Cairns;1;2;1;;230;;1;195;16;11;14;;;58;;;;4;12;49;;2;;46;;3;86;2;34;3;;5;2;202;;223;;646;;;;;;3;6;;;4;1861
Capricorn Coast;14;12;;1;124;;1;910;72;3;4;;8;11;2;;16;35;4;88;;32;;364;;13;5;;52;4;;4;;78;;53;;531;4;;;;1;10;2;;;;2458
Gladstone;4;18;;;407;;5;210;123;2;3;;1;;;1;1;6;1;15;;5;1;157;;24;12;2;13;;;;;84;;6;;246;3;;;2;1;2;;;2;;1357
Gold Coast;;;;;3;;;117;2;;112;1;;66;;11;;33;;315;35;;;3;;41;349;;;1;;;;;;2;;192;1;1;;1;92;;1;;;43;1422
Mackay;11;10;;;73;;;459;10;57;3;3;;34;;;5;13;;142;;;;19;;39;74;;53;;;;;148;1;262;1;1226;1;1;;;;;;5;;14;2664
Nth Stradbroke Is.;;;1;;12;1;1;56;;;73;;;7;;2;;5;;6;13;;;;;7;8;;4;;;;;1;;;;231;;;;;28;;1;;;;457
Rainbow Beach;1;;;;45;;;138;4;;76;;1;56;;18;1;23;1;244;8;2;;10;;14;45;;17;2;1;;;;;1;;401;3;;;2;9;;1;;1;14;1139
Sunshine Coast North;;;1;;;;1;170;;;62;4;;109;;24;25;65;1;426;14;;;13;1;20;45;;4;12;;;;13;;5;;337;3;9;1;2;16;;3;;;6;1392
Sunshine Coast South;;;;;;;;27;1;;10;;;12;;4;;3;;66;;;;2;;10;11;;3;1;;2;;10;;2;;53;;1;;;3;;;;;;221
Sunshine Coast South & Bribie Island;;;;;1;;1;62;;;4;2;;12;;7;12;16;;113;1;;;12;;4;9;;3;3;;;;;;1;;115;2;2;;;4;;;;;1;387
Townsville;;3;;;196;1;;381;224;4;3;;11;81;;;2;2;;51;;21;1;140;;7;63;;61;;;;;648;;346;;1051;11;;;1;;10;;1;;3;3323
Grand Total;31;49;5;1;1125;2;10;2848;457;77;377;10;21;446;2;67;62;208;19;1528;73;62;2;877;1;289;724;4;282;26;1;11;2;1192;1;941;1;5995;49;14;1;17;166;25;14;6;3;86;18210
